year,driverRef,constructorRef,grid,position,driverName,constructorName
2002,button,renault,8,4.0,Jenson Button,Renault
2002,heidfeld,sauber,7,5.0,Nick Heidfeld,Sauber
2002,massa,sauber,14,6.0,Felipe Massa,Sauber
2002,mcnish,toyota,19,7.0,Allan McNish,Toyota
2002,villeneuve,bar,13,8.0,Jacques Villeneuve,BAR
2002,sato,jordan,15,9.0,Takuma Sato,Jordan
2002,rosa,jaguar,17,10.0,Pedro de la Rosa,Jaguar
2002,frentzen,arrows,11,11.0,Heinz-Harald Frentzen,Arrows
2002,salo,toyota,10,12.0,Mika Salo,Toyota
2002,fisichella,jordan,9,13.0,Giancarlo Fisichella,Jordan
2001,michael_schumacher,ferrari,1,1.0,Michael Schumacher,Ferrari
2001,barrichello,ferrari,2,2.0,Rubens Barrichello,Ferrari
2001,coulthard,mclaren,8,3.0,David Coulthard,McLaren
2001,frentzen,jordan,9,4.0,Heinz-Harald Frentzen,Jordan
2001,ralf_schumacher,williams,3,5.0,Ralf Schumacher,Williams
